ts,open,high,low,close,volume,dt_utc
1509926400,1.5,1.799,0.5,1.7,,2017-11-06 00:00:00+00:00
1509940800,1.3,1.681,1.3,1.625,,2017-11-06 04:00:00+00:00
1509955200,1.6011,1.676,1.58,1.6288,,2017-11-06 08:00:00+00:00
1509969600,1.6288,1.6288,1.5645,1.6148,,2017-11-06 12:00:00+00:00
1509984000,1.6148,1.631,1.5645,1.5868,,2017-11-06 16:00:00+00:00
1509998400,1.5868,1.598,1.55,1.571,,2017-11-06 20:00:00+00:00
1510012800,1.571,1.6188,1.5389,1.6188,,2017-11-07 00:00:00+00:00
1510027200,1.6188,1.6188,1.5548,1.5705,,2017-11-07 04:00:00+00:00
1510041600,1.5705,1.6184,1.5548,1.5864,,2017-11-07 08:00:00+00:00
1510056000,1.6183,1.7885,1.5801,1.7353,,2017-11-07 12:00:00+00:00
1510070400,1.7353,1.799,1.6593,1.799,,2017-11-07 16:00:00+00:00
1510084800,1.799,1.8,1.7196,1.8,,2017-11-07 20:00:00+00:00
1510099200,1.8,1.946,1.7479,1.81,,2017-11-08 00:00:00+00:00
1510113600,1.81,1.99,1.81,1.8631,,2017-11-08 04:00:00+00:00
1510128000,1.8631,1.9448,1.8631,1.8736,,2017-11-08 08:00:00+00:00
1510142400,1.87,1.93,1.821,1.93,,2017-11-08 12:00:00+00:00
1510156800,1.93,1.99,1.78,1.95,,2017-11-08 16:00:00+00:00
1510171200,1.95,1.99,1.875,1.9889,,2017-11-08 20:00:00+00:00
1510185600,1.9889,2.05,1.9,2.05,,2017-11-09 00:00:00+00:00
1510200000,2.05,2.05,1.96,2.0182,,2017-11-09 04:00:00+00:00
1510214400,2.0182,2.07,1.9704,2.0001,,2017-11-09 08:00:00+00:00
1510228800,2.0599,2.1997,2.0118,2.0711,,2017-11-09 12:00:00+00:00
1510243200,2.11,2.1302,2.08,2.1294,,2017-11-09 16:00:00+00:00
1510257600,2.1294,2.1294,1.9,1.99,,2017-11-09 20:00:00+00:00
1510272000,1.99,2.02,1.9,1.9498,,2017-11-10 00:00:00+00:00
1510286400,1.9498,1.9498,1.8923,1.895,,2017-11-10 04:00:00+00:00
1510300800,1.895,2.0101,1.7998,1.7998,,2017-11-10 08:00:00+00:00
1510315200,1.7998,1.825,1.6631,1.7723,,2017-11-10 12:00:00+00:00
1510329600,1.7723,1.89,1.6168,1.6501,,2017-11-10 16:00:00+00:00
1510344000,1.6501,1.8799,1.6019,1.7133,,2017-11-10 20:00:00+00:00
1510358400,1.7133,1.925,1.7133,1.8799,,2017-11-11 00:00:00+00:00
1510372800,1.8799,1.9179,1.8001,1.848,,2017-11-11 04:00:00+00:00
1510387200,1.848,1.848,1.69,1.7304,,2017-11-11 08:00:00+00:00
1510401600,1.7304,1.7304,1.58,1.6,,2017-11-11 12:00:00+00:00
1510416000,1.6,1.7,1.58,1.7,,2017-11-11 16:00:00+00:00
1510430400,1.7,1.7,1.6401,1.655,,2017-11-11 20:00:00+00:00
1510444800,1.6567,1.6567,1.5,1.53,,2017-11-12 00:00:00+00:00
