ts,open,high,low,close,volume,dt_utc
1502942400,4261.48,4349.99,4261.32,4349.99,,2017-08-17 04:00:00+00:00
1502956800,4333.32,4485.39,4333.32,4427.3,,2017-08-17 08:00:00+00:00
1502971200,4436.06,4485.39,4333.42,4352.34,,2017-08-17 12:00:00+00:00
1502985600,4352.33,4354.84,4200.74,4325.23,,2017-08-17 16:00:00+00:00
1503000000,4307.56,4369.69,4258.56,4285.08,,2017-08-17 20:00:00+00:00
1503014400,4285.08,4340.62,4134.61,4292.39,,2017-08-18 00:00:00+00:00
1503028800,4292.39,4340.62,4234.43,4300.25,,2017-08-18 04:00:00+00:00
1503043200,4285.0,4371.52,4259.85,4340.31,,2017-08-18 08:00:00+00:00
1503057600,4320.52,4340.31,4193.7,4236.89,,2017-08-18 12:00:00+00:00
1503072000,4234.54,4297.75,4015.7,4136.28,,2017-08-18 16:00:00+00:00
1503086400,4135.0,4136.48,3938.77,4108.37,,2017-08-18 20:00:00+00:00
1503100800,4108.37,4184.69,4084.28,4138.55,,2017-08-19 00:00:00+00:00
1503115200,4138.5,4156.0,3933.21,4033.47,,2017-08-19 04:00:00+00:00
1503129600,4033.47,4082.25,3850.0,3957.6,,2017-08-19 08:00:00+00:00
1503144000,3945.12,4100.0,3928.89,3972.05,,2017-08-19 12:00:00+00:00
1503158400,4036.19,4103.92,3953.4,4076.12,,2017-08-19 16:00:00+00:00
1503172800,4088.71,4149.99,4051.47,4139.98,,2017-08-19 20:00:00+00:00
1503187200,4120.98,4139.98,4044.0,4094.62,,2017-08-20 00:00:00+00:00
1503201600,4094.62,4156.56,4081.19,4155.87,,2017-08-20 04:00:00+00:00
1503216000,4155.87,4211.08,4032.62,4106.53,,2017-08-20 08:00:00+00:00
1503230400,4106.53,4125.43,4063.35,4125.0,,2017-08-20 12:00:00+00:00
1503244800,4125.0,4185.94,4091.59,4164.6,,2017-08-20 16:00:00+00:00
1503259200,4161.59,4171.62,4069.13,4086.29,,2017-08-20 20:00:00+00:00
1503273600,4069.13,4119.62,4039.0,4084.76,,2017-08-21 00:00:00+00:00
1503288000,4079.26,4104.68,3953.4,4043.63,,2017-08-21 04:00:00+00:00
1503302400,4043.63,4088.12,4000.01,4023.11,,2017-08-21 08:00:00+00:00
1503316800,4023.11,4023.11,3911.79,4022.0,,2017-08-21 12:00:00+00:00
1503331200,4005.99,4042.11,3918.8,4027.05,,2017-08-21 16:00:00+00:00
1503345600,4027.05,4070.49,3950.0,4016.0,,2017-08-21 20:00:00+00:00
1503360000,4016.0,4016.0,3688.97,3862.39,,2017-08-22 00:00:00+00:00
1503374400,3863.0,3868.57,3400.0,3798.08,,2017-08-22 04:00:00+00:00
1503388800,3798.08,3920.31,3750.08,3866.48,,2017-08-22 08:00:00+00:00
1503403200,3866.48,3990.12,3786.81,3858.23,,2017-08-22 12:00:00+00:00
1503417600,3858.23,4104.82,3853.47,3984.24,,2017-08-22 16:00:00+00:00
1503432000,3984.5,4061.54,3944.03,4040.0,,2017-08-22 20:00:00+00:00
1503446400,4040.0,4127.99,4013.89,4100.41,,2017-08-23 00:00:00+00:00
1503460800,4084.54,4115.87,4035.32,4074.88,,2017-08-23 04:00:00+00:00
1503475200,4081.63,4242.32,4057.0,4237.99,,2017-08-23 08:00:00+00:00
1503489600,4205.98,4265.8,4150.65,4197.05,,2017-08-23 12:00:00+00:00
1503504000,4226.94,4259.58,4103.51,4117.07,,2017-08-23 16:00:00+00:00
1503518400,4136.48,4178.65,4069.8,4114.01,,2017-08-23 20:00:00+00:00
1503532800,4147.0,4204.55,4085.01,4113.58,,2017-08-24 00:00:00+00:00
1503547200,4113.58,4177.64,4090.39,4153.32,,2017-08-24 04:00:00+00:00
1503561600,4153.8,4250.94,4150.0,4202.0,,2017-08-24 08:00:00+00:00
1503576000,4211.78,4250.9,4136.33,4222.0,,2017-08-24 12:00:00+00:00
1503590400,4223.06,4250.77,4178.22,4216.07,,2017-08-24 16:00:00+00:00
1503604800,4216.1,4371.68,4193.17,4316.01,,2017-08-24 20:00:00+00:00
1503619200,4316.01,4370.0,4295.75,4312.69,,2017-08-25 00:00:00+00:00
1503633600,4312.69,4362.0,4267.5,4329.0,,2017-08-25 04:00:00+00:00
1503648000,4317.81,4361.28,4298.74,4361.27,,2017-08-25 08:00:00+00:00
1503662400,4361.27,4422.29,4261.13,4394.36,,2017-08-25 12:00:00+00:00
1503676800,4394.36,4453.91,4284.11,4307.17,,2017-08-25 16:00:00+00:00
1503691200,4326.0,4365.0,4247.48,4280.68,,2017-08-25 20:00:00+00:00
1503705600,4280.71,4315.0,4228.99,4297.94,,2017-08-26 00:00:00+00:00
1503720000,4297.94,4319.7,4252.44,4319.7,,2017-08-26 04:00:00+00:00
1503734400,4319.7,4319.7,4260.88,4288.72,,2017-08-26 08:00:00+00:00
1503748800,4288.72,4306.74,4221.14,4275.0,,2017-08-26 12:00:00+00:00
1503763200,4275.0,4351.32,4212.41,4293.52,,2017-08-26 16:00:00+00:00
1503777600,4293.52,4367.0,4279.0,4337.44,,2017-08-26 20:00:00+00:00
1503792000,4332.51,4400.0,4314.91,4314.91,,2017-08-27 00:00:00+00:00
1503806400,4329.19,4370.85,4293.42,4313.84,,2017-08-27 04:00:00+00:00
1503820800,4331.29,4352.34,4285.56,4323.37,,2017-08-27 08:00:00+00:00
1503835200,4340.0,4340.0,4285.54,4325.0,,2017-08-27 12:00:00+00:00
1503849600,4290.01,4386.78,4290.01,4368.41,,2017-08-27 16:00:00+00:00
1503864000,4336.12,4386.79,4309.6,4310.01,,2017-08-27 20:00:00+00:00
1503878400,4310.01,4330.36,4239.36,4239.37,,2017-08-28 00:00:00+00:00
1503892800,4239.36,4297.11,4124.54,4261.9,,2017-08-28 04:00:00+00:00
1503907200,4261.9,4365.4,4226.93,4308.0,,2017-08-28 08:00:00+00:00
