ts,open,high,low,close,volume,dt_utc
1562328000,0.00449,0.0046,0.00371,0.0037379,,2019-07-05 12:00:00+00:00
1562342400,0.0037276,0.0037338,0.00355,0.0036881,,2019-07-05 16:00:00+00:00
1562356800,0.0036883,0.0038736,0.0036237,0.0038701,,2019-07-05 20:00:00+00:00
1562371200,0.0038741,0.0039426,0.003704,0.003767,,2019-07-06 00:00:00+00:00
1562385600,0.0037674,0.0038127,0.00361,0.0036599,,2019-07-06 04:00:00+00:00
1562400000,0.00367,0.0036917,0.0035901,0.0036351,,2019-07-06 08:00:00+00:00
1562414400,0.0036317,0.00368,0.00359,0.0036488,,2019-07-06 12:00:00+00:00
1562428800,0.0036451,0.0036696,0.003455,0.0034688,,2019-07-06 16:00:00+00:00
1562443200,0.003471,0.0035353,0.0033652,0.0035,,2019-07-06 20:00:00+00:00
1562457600,0.003504,0.0035239,0.0034,0.00348,,2019-07-07 00:00:00+00:00
1562472000,0.0034721,0.0035576,0.0034351,0.00353,,2019-07-07 04:00:00+00:00
1562486400,0.00353,0.0035618,0.0034761,0.0035004,,2019-07-07 08:00:00+00:00
1562500800,0.003497,0.0035163,0.00345,0.0034601,,2019-07-07 12:00:00+00:00
1562515200,0.0034607,0.00365,0.0034399,0.0035459,,2019-07-07 16:00:00+00:00
1562529600,0.0035459,0.0035999,0.0035214,0.0035377,,2019-07-07 20:00:00+00:00
1562544000,0.0035378,0.0035618,0.00348,0.0034846,,2019-07-08 00:00:00+00:00
1562558400,0.0034846,0.0035063,0.0034262,0.0034689,,2019-07-08 04:00:00+00:00
1562572800,0.0034723,0.0035544,0.0034539,0.003549,,2019-07-08 08:00:00+00:00
1562587200,0.0035403,0.003556,0.0034,0.0034706,,2019-07-08 12:00:00+00:00
1562601600,0.0034713,0.0035255,0.0034378,0.0035038,,2019-07-08 16:00:00+00:00
1562616000,0.0035039,0.0035209,0.003441,0.003458,,2019-07-08 20:00:00+00:00
1562630400,0.003462,0.003582,0.003442,0.0035315,,2019-07-09 00:00:00+00:00
1562644800,0.0035298,0.0035378,0.0034578,0.0034752,,2019-07-09 04:00:00+00:00
1562659200,0.0034779,0.0035045,0.0033564,0.0034088,,2019-07-09 08:00:00+00:00
1562673600,0.0034013,0.003449,0.0033986,0.0034399,,2019-07-09 12:00:00+00:00
1562688000,0.003429,0.0035138,0.0034281,0.0034772,,2019-07-09 16:00:00+00:00
1562702400,0.0034771,0.0034979,0.00341,0.0034545,,2019-07-09 20:00:00+00:00
1562716800,0.0034576,0.0035263,0.0034512,0.0034705,,2019-07-10 00:00:00+00:00
1562731200,0.0034706,0.0035294,0.003451,0.0034918,,2019-07-10 04:00:00+00:00
1562745600,0.0034918,0.0035294,0.0034766,0.0034843,,2019-07-10 08:00:00+00:00
1562760000,0.0034843,0.003523,0.00333,0.0033566,,2019-07-10 12:00:00+00:00
1562774400,0.0033562,0.0033811,0.0033,0.0033778,,2019-07-10 16:00:00+00:00
