ts,open,high,low,close,volume,dt_utc
1502942400,301.13,307.96,298.0,307.96,,2017-08-17 04:00:00+00:00
1502956800,307.95,312.0,307.0,308.95,,2017-08-17 08:00:00+00:00
1502971200,308.95,310.51,303.56,307.06,,2017-08-17 12:00:00+00:00
1502985600,307.06,312.18,298.21,301.6,,2017-08-17 16:00:00+00:00
1503000000,301.6,310.85,299.01,302.0,,2017-08-17 20:00:00+00:00
1503014400,302.0,306.47,295.19,301.4,,2017-08-18 00:00:00+00:00
1503028800,301.4,309.49,298.41,306.24,,2017-08-18 04:00:00+00:00
1503043200,306.24,311.79,303.22,307.78,,2017-08-18 08:00:00+00:00
1503057600,307.78,310.29,296.32,298.8,,2017-08-18 12:00:00+00:00
1503072000,298.8,301.11,287.37,293.83,,2017-08-18 16:00:00+00:00
1503086400,295.46,295.46,283.94,293.96,,2017-08-18 20:00:00+00:00
1503100800,293.96,299.84,292.83,293.22,,2017-08-19 00:00:00+00:00
1503115200,294.69,299.9,287.01,290.16,,2017-08-19 04:00:00+00:00
1503129600,290.16,293.17,278.0,282.58,,2017-08-19 08:00:00+00:00
1503144000,281.39,290.85,279.56,288.64,,2017-08-19 12:00:00+00:00
1503158400,288.64,295.0,284.16,293.31,,2017-08-19 16:00:00+00:00
1503172800,293.31,294.9,288.8,290.91,,2017-08-19 20:00:00+00:00
1503187200,290.91,292.42,285.96,292.41,,2017-08-20 00:00:00+00:00
1503201600,292.41,295.56,285.39,292.08,,2017-08-20 04:00:00+00:00
1503216000,293.02,296.89,282.85,295.0,,2017-08-20 08:00:00+00:00
1503230400,295.0,296.92,292.28,295.1,,2017-08-20 12:00:00+00:00
1503244800,295.1,300.53,293.28,297.88,,2017-08-20 16:00:00+00:00
1503259200,297.87,300.53,294.51,299.1,,2017-08-20 20:00:00+00:00
1503273600,299.1,300.9,294.6,299.85,,2017-08-21 00:00:00+00:00
1503288000,299.85,329.49,299.11,318.5,,2017-08-21 04:00:00+00:00
1503302400,318.5,333.66,312.6,331.53,,2017-08-21 08:00:00+00:00
1503316800,331.33,346.52,325.42,334.94,,2017-08-21 12:00:00+00:00
1503331200,334.94,342.72,316.82,329.71,,2017-08-21 16:00:00+00:00
1503345600,332.27,332.74,316.12,323.29,,2017-08-21 20:00:00+00:00
1503360000,323.29,330.41,280.0,280.0,,2017-08-22 00:00:00+00:00
1503374400,144.21,310.24,144.21,300.35,,2017-08-22 04:00:00+00:00
1503388800,300.35,313.16,296.0,308.03,,2017-08-22 08:00:00+00:00
1503403200,311.16,311.24,301.48,308.39,,2017-08-22 12:00:00+00:00
1503417600,305.08,320.76,305.08,307.03,,2017-08-22 16:00:00+00:00
1503432000,307.03,313.99,305.08,309.8,,2017-08-22 20:00:00+00:00
1503446400,312.25,319.78,309.41,317.26,,2017-08-23 00:00:00+00:00
1503460800,315.45,324.99,315.35,319.06,,2017-08-23 04:00:00+00:00
1503475200,319.06,324.51,318.02,319.2,,2017-08-23 08:00:00+00:00
1503489600,319.2,322.0,313.75,319.2,,2017-08-23 12:00:00+00:00
1503504000,319.2,322.34,315.53,318.57,,2017-08-23 16:00:00+00:00
1503518400,318.57,320.2,312.05,315.74,,2017-08-23 20:00:00+00:00
1503532800,315.74,318.45,314.01,315.22,,2017-08-24 00:00:00+00:00
1503547200,315.22,322.36,314.31,318.54,,2017-08-24 04:00:00+00:00
