ts,open,high,low,close,volume,dt_utc
1597118400,2.85,3.47,2.85,2.9224,,2020-08-11 04:00:00+00:00
1597132800,2.9626,3.1,2.8433,3.0497,,2020-08-11 08:00:00+00:00
1597147200,3.0497,3.5208,2.8625,3.19,,2020-08-11 12:00:00+00:00
1597161600,3.1751,3.384,3.1143,3.1886,,2020-08-11 16:00:00+00:00
1597176000,3.1938,3.3191,2.95,3.2985,,2020-08-11 20:00:00+00:00
1597190400,3.2985,3.32,3.08,3.2802,,2020-08-12 00:00:00+00:00
1597204800,3.2802,3.3661,3.1323,3.3661,,2020-08-12 04:00:00+00:00
1597219200,3.3577,3.9289,3.35,3.6842,,2020-08-12 08:00:00+00:00
1597233600,3.6733,3.9,3.6434,3.7678,,2020-08-12 12:00:00+00:00
1597248000,3.7704,3.8423,3.6,3.6788,,2020-08-12 16:00:00+00:00
1597262400,3.6788,3.8225,3.6652,3.7558,,2020-08-12 20:00:00+00:00
1597276800,3.75,3.8512,3.5537,3.7593,,2020-08-13 00:00:00+00:00
1597291200,3.7404,4.1387,3.6243,4.0785,,2020-08-13 04:00:00+00:00
1597305600,4.0946,4.1222,3.5003,3.87,,2020-08-13 08:00:00+00:00
1597320000,3.87,4.0555,3.8,3.8065,,2020-08-13 12:00:00+00:00
1597334400,3.8065,3.9645,3.7698,3.8566,,2020-08-13 16:00:00+00:00
1597348800,3.8549,3.87,3.5385,3.73,,2020-08-13 20:00:00+00:00
1597363200,3.7207,3.7676,3.5717,3.625,,2020-08-14 00:00:00+00:00
1597377600,3.6251,3.7517,3.5,3.55,,2020-08-14 04:00:00+00:00
1597392000,3.5327,3.7598,3.4267,3.7173,,2020-08-14 08:00:00+00:00
1597406400,3.7036,3.7133,3.5106,3.5788,,2020-08-14 12:00:00+00:00
1597420800,3.5753,3.5881,3.321,3.3792,,2020-08-14 16:00:00+00:00
1597435200,3.3792,3.4897,3.3321,3.4099,,2020-08-14 20:00:00+00:00
1597449600,3.4181,3.4242,3.1874,3.3289,,2020-08-15 00:00:00+00:00
1597464000,3.3305,3.5713,3.163,3.5215,,2020-08-15 04:00:00+00:00
1597478400,3.5216,3.74,3.4477,3.45,,2020-08-15 08:00:00+00:00
1597492800,3.4527,3.4852,3.38,3.4324,,2020-08-15 12:00:00+00:00
1597507200,3.4547,3.4654,3.34,3.3684,,2020-08-15 16:00:00+00:00
1597521600,3.3684,3.4727,3.15,3.173,,2020-08-15 20:00:00+00:00
1597536000,3.173,3.2602,3.12,3.1955,,2020-08-16 00:00:00+00:00
1597550400,3.192,3.4907,3.1697,3.4401,,2020-08-16 04:00:00+00:00
1597564800,3.4401,3.47,3.34,3.4193,,2020-08-16 08:00:00+00:00
1597579200,3.4193,3.4427,3.34,3.3872,,2020-08-16 12:00:00+00:00
1597593600,3.3911,3.4726,3.379,3.4071,,2020-08-16 16:00:00+00:00
1597608000,3.4115,3.4426,3.36,3.3885,,2020-08-16 20:00:00+00:00
1597622400,3.3885,3.3952,3.3235,3.3502,,2020-08-17 00:00:00+00:00
1597636800,3.3551,3.3666,3.2,3.2001,,2020-08-17 04:00:00+00:00
1597651200,3.2034,3.3234,3.2002,3.2891,,2020-08-17 08:00:00+00:00
1597665600,3.2891,3.2934,3.1,3.1264,,2020-08-17 12:00:00+00:00
1597680000,3.1347,3.215,3.11,3.1541,,2020-08-17 16:00:00+00:00
1597694400,3.1546,3.2,3.1,3.11,,2020-08-17 20:00:00+00:00
1597708800,3.11,3.1277,3.0,3.0328,,2020-08-18 00:00:00+00:00
1597723200,3.0208,3.0671,2.878,2.99,,2020-08-18 04:00:00+00:00
1597737600,2.99,3.25,2.91,3.0672,,2020-08-18 08:00:00+00:00
1597752000,3.0501,3.7092,2.8105,3.3621,,2020-08-18 12:00:00+00:00
1597766400,3.3777,3.5832,3.258,3.5289,,2020-08-18 16:00:00+00:00
